location,Latitude,Longitude
"Puerto Rico, Dorado, 949",18.43606,-66.281954
"Virgin Islands, Saint Thomas, 802",18.342908,-64.9189
"Massachusetts, Agawam, 1001",42.06954,-72.61481
"Massachusetts, Pelham, 1002",42.385735,-72.521853
"Massachusetts, Amherst, 1002",42.385735,-72.521853
"Massachusetts, Granby, 1033",42.262285,-72.504086
"Massachusetts, Whately, 1093",42.442673,-72.652511
"Massachusetts, Sunderland, 1375",42.46675,-72.5787
"Massachusetts, Chicopee, 1020",42.177492,-72.562563
"Massachusetts, Belchertown, 1007",42.280267,-72.402056
"Massachusetts, Chicopee, 1013",42.190085,-72.598377
"Massachusetts, South Hadley, 1075",42.24984,-72.58152
"Massachusetts, Ludlow, 1056",42.175863,-72.498309
"Massachusetts, Orange, 1364",42.59721,-72.3032
"Massachusetts, Holyoke, 1040",42.198291,-72.64207
"Massachusetts, Easthampton, 1027",42.26676,-72.66898
"Massachusetts, Northampton, 1062",42.321488,-72.630588
"Massachusetts, Northampton, 1060",42.321488,-72.630588
"Massachusetts, Barre, 1005",42.42301,-72.10638
"Massachusetts, Leverett, 1054",42.474681,-72.467543
"Massachusetts, Southampton, 1073",42.230008,-72.728463
"Massachusetts, Greenfield, 1301",42.601335,-72.623619
"Massachusetts, Deerfield, 1373",42.54723,-72.607679
"Massachusetts, West Springfield, 1089",42.118403,-72.647517
"Massachusetts, Hadley, 1035",42.356804,-72.576613
"Massachusetts, Williamsburg, 1038",42.413069,-72.821653
"Massachusetts, Springfield, 1104",42.109963,-72.557506
"Massachusetts, Williamsburg, 1096",42.413069,-72.821653
"Massachusetts, Montague, 1351",42.548107,-72.48693
"Massachusetts, Athol, 1331",42.59353,-72.23033
"Massachusetts, Blandford, 1008",42.21652,-72.959587
"Connecticut, Coventry, 6238",41.778623,-72.323642
"Connecticut, East Windsor, 6016",41.903347,-72.592883
"Connecticut, Vernon, 6066",41.81871,-72.47953
"Massachusetts, Ware, 1082",42.25485,-72.24602
"Connecticut, Ellington, 6029",41.90399,-72.46981
"Massachusetts, Longmeadow, 1028",42.049194,-72.567882
"Massachusetts, Springfield, 1105",42.109963,-72.557506
"Connecticut, Stafford, 6076",41.81152,-72.308779
"Massachusetts, Springfield, 1118",42.093894,-72.523227
"Massachusetts, Springfield, 1108",42.109963,-72.557506
"Connecticut, Manchester, 6040",41.776048,-72.523748
"Connecticut, Enfield, 6082",42.024643,-72.58551
"Massachusetts, Springfield, 1129",42.124485,-72.489479
"Massachusetts, Palmer, 1069",42.173302,-72.32867
"Massachusetts, Springfield, 1151",42.170731,-72.604842
"Massachusetts, Brimfield, 1010",42.157709,-72.167851
